DateTime, Breathing, Vert Accelerometer, Lat Accelerometer, Long Accelerometer
2023-02-03 11:39:47.234+00:00, 512, -78, 456, -515
2023-02-03 11:39:47.273+00:00, 512, -562, -281, -542
2023-02-03 11:39:47.312+00:00, 512, -191, -679, -464
2023-02-03 11:39:47.351+00:00, 512, -542, -238, -788
2023-02-03 11:39:47.390+00:00, 512, -328, -632, -913
2023-02-03 11:39:47.429+00:00, 512, -16, -550, -881
2023-02-03 11:39:47.468+00:00, 512, -129, -753, -881
2023-02-03 11:39:47.507+00:00, 512, -125, -402, -737
2023-02-03 11:39:47.546+00:00, 513, -172, -495, -768
2023-02-03 11:39:47.585+00:00, 513, -250, -527, -967
2023-02-03 11:39:47.625+00:00, 513, 117, -230, -1010
2023-02-03 11:39:47.664+00:00, 513, 523, -936, -367
2023-02-03 11:39:47.703+00:00, 512, -433, -257, -1981
2023-02-03 11:39:47.742+00:00, 512, -378, -347, -1143
2023-02-03 11:39:47.781+00:00, 512, -371, -265, -1041
2023-02-03 11:39:47.820+00:00, 512, 105, -51, -238
2023-02-03 11:39:47.859+00:00, 512, 39, -530, -207
2023-02-03 11:39:47.898+00:00, 512, -312, -121, -749
2023-02-03 11:39:47.937+00:00, 512, -324, -741, -1026
2023-02-03 11:39:47.976+00:00, 512, -281, -417, -1096
2023-02-03 11:39:48.015+00:00, 512, 66, -195, -741
2023-02-03 11:39:48.054+00:00, 512, -16, -285, -671
2023-02-03 11:39:48.093+00:00, 512, -480, -819, -885
2023-02-03 11:39:48.132+00:00, 512, -328, -429, -558
2023-02-03 11:39:48.171+00:00, 512, -144, -468, -679
2023-02-03 11:39:48.210+00:00, 512, -293, -452, -823
2023-02-03 11:39:48.250+00:00, 512, -371, -562, -1123
2023-02-03 11:39:48.289+00:00, 512, -31, -753, -932
2023-02-03 11:39:48.328+00:00, 512, 74, -601, -878
2023-02-03 11:39:48.367+00:00, 512, 51, -242, -211
2023-02-03 11:39:48.406+00:00, 512, 109, -300, -671
2023-02-03 11:39:48.445+00:00, 512, 257, -605, -250
2023-02-03 11:39:48.484+00:00, 512, 378, -585, -839
2023-02-03 11:39:48.523+00:00, 513, 538, -987, -612
2023-02-03 11:39:48.562+00:00, 513, 335, -573, -612
2023-02-03 11:39:48.601+00:00, 512, 31, 113, -577
2023-02-03 11:39:48.640+00:00, 512, -281, -1385, -612
2023-02-03 11:39:48.679+00:00, 512, 16, -948, -605
2023-02-03 11:39:48.718+00:00, 512, 43, -659, -562
2023-02-03 11:39:48.757+00:00, 512, -20, -749, -523
2023-02-03 11:39:48.796+00:00, 512, -207, -530, -663
2023-02-03 11:39:48.835+00:00, 512, -55, -889, -690
2023-02-03 11:39:48.875+00:00, 512, 4, -495, -811
2023-02-03 11:39:48.914+00:00, 512, 23, -425, -800
2023-02-03 11:39:48.953+00:00, 512, -43, -371, -827
2023-02-03 11:39:48.992+00:00, 512, -101, -472, -796
2023-02-03 11:39:49.031+00:00, 512, -27, -538, -854
2023-02-03 11:39:49.070+00:00, 512, 47, -339, -749
2023-02-03 11:39:49.109+00:00, 512, 168, -456, -694
2023-02-03 11:39:49.148+00:00, 512, 74, -538, -698
2023-02-03 11:39:49.187+00:00, 512, -109, -460, -749
2023-02-03 11:39:49.226+00:00, 512, -117, -390, -811
2023-02-03 11:39:49.265+00:00, 512, 148, -542, -881
2023-02-03 11:39:49.304+00:00, 512, 113, 82, -679
2023-02-03 11:39:49.343+00:00, 512, -66, -203, -745
2023-02-03 11:39:49.382+00:00, 512, 59, -476, -897
2023-02-03 11:39:49.421+00:00, 512, 78, -343, -862
2023-02-03 11:39:49.460+00:00, 512, 199, -417, -796
2023-02-03 11:39:49.500+00:00, 512, 156, -113, -995
2023-02-03 11:39:49.539+00:00, 512, 94, -374, -878
2023-02-03 11:39:49.578+00:00, 512, 94, -230, -780
2023-02-03 11:39:49.617+00:00, 512, 51, -269, -885
2023-02-03 11:39:49.656+00:00, 512, 105, -328, -835
2023-02-03 11:39:49.695+00:00, 512, 51, -285, -913
2023-02-03 11:39:49.734+00:00, 512, 90, -257, -866
2023-02-03 11:39:49.773+00:00, 512, 148, -230, -866
2023-02-03 11:39:49.812+00:00, 512, -90, -382, -897
2023-02-03 11:39:49.851+00:00, 512, 172, -230, -878
2023-02-03 11:39:49.890+00:00, 512, 35, -378, -893
2023-02-03 11:39:49.929+00:00, 512, 109, -347, -792
2023-02-03 11:39:49.968+00:00, 512, 12, -246, -893
2023-02-03 11:39:50.007+00:00, 512, -55, -410, -842
2023-02-03 11:39:50.046+00:00, 512, -101, -784, -850
2023-02-03 11:39:50.085+00:00, 512, 62, 199, -928
2023-02-03 11:39:50.125+00:00, 512, 98, -203, -796
2023-02-03 11:39:50.164+00:00, 512, 16, -230, -874
2023-02-03 11:39:50.203+00:00, 512, -332, -285, -885
2023-02-03 11:39:50.242+00:00, 512, -273, -347, -745
2023-02-03 11:39:50.281+00:00, 512, -378, -312, -948
2023-02-03 11:39:50.320+00:00, 512, -339, -8, -920
2023-02-03 11:39:50.359+00:00, 512, -242, -176, -944
2023-02-03 11:39:50.398+00:00, 512, 20, -27, -936
2023-02-03 11:39:50.437+00:00, 512, -277, -581, -1026
2023-02-03 11:39:50.476+00:00, 512, -222, -807, -987
2023-02-03 11:39:50.515+00:00, 512, -706, 27, -862
2023-02-03 11:39:50.554+00:00, 512, -472, -277, -897
2023-02-03 11:39:50.593+00:00, 512, -421, 257, -924
2023-02-03 11:39:50.632+00:00, 512, -343, -55, -745
2023-02-03 11:39:50.671+00:00, 512, -328, 176, -1010
2023-02-03 11:39:50.710+00:00, 512, -452, -98, -854
2023-02-03 11:39:50.750+00:00, 512, -300, -183, -893
2023-02-03 11:39:50.789+00:00, 512, -460, -156, -975
2023-02-03 11:39:50.828+00:00, 512, 105, -936, -1014
2023-02-03 11:39:50.867+00:00, 512, -402, -230, -835
2023-02-03 11:39:50.906+00:00, 512, -468, -250, -835
2023-02-03 11:39:50.945+00:00, 512, -449, -12, -924
2023-02-03 11:39:50.984+00:00, 512, -538, -35, -796
2023-02-03 11:39:51.023+00:00, 512, -289, -121, -920
2023-02-03 11:39:51.062+00:00, 512, -328, -140, -913
2023-02-03 11:39:51.101+00:00, 512, -378, -47, -878
2023-02-03 11:39:51.140+00:00, 512, -433, -129, -827
2023-02-03 11:39:51.179+00:00, 512, -386, -43, -940
2023-02-03 11:39:51.218+00:00, 512, -425, 0, -963
2023-02-03 11:39:51.257+00:00, 512, -300, -23, -866
2023-02-03 11:39:51.296+00:00, 512, -238, 109, -854
2023-02-03 11:39:51.335+00:00, 512, -257, -140, -885
2023-02-03 11:39:51.375+00:00, 512, -320, -66, -948
2023-02-03 11:39:51.414+00:00, 512, -242, -86, -932
2023-02-03 11:39:51.453+00:00, 512, -234, -8, -897
2023-02-03 11:39:51.492+00:00, 512, -257, -39, -967
2023-02-03 11:39:51.531+00:00, 512, -215, -43, -920
2023-02-03 11:39:51.570+00:00, 512, -265, -90, -862
2023-02-03 11:39:51.609+00:00, 512, -277, -31, -928
2023-02-03 11:39:51.648+00:00, 512, -304, 12, -1010
2023-02-03 11:39:51.687+00:00, 512, -308, -27, -920
2023-02-03 11:39:51.726+00:00, 512, -183, -55, -893
2023-02-03 11:39:51.765+00:00, 512, -491, 47, -1030
2023-02-03 11:39:51.804+00:00, 512, -429, -55, -784
2023-02-03 11:39:51.843+00:00, 512, -382, -59, -1131
2023-02-03 11:39:51.882+00:00, 512, -312, -4, -897
2023-02-03 11:39:51.933+00:00, 512, -222, -59, -819
2023-02-03 11:39:51.972+00:00, 512, -371, -129, -1010
2023-02-03 11:39:52.011+00:00, 512, -105, 35, -1065
2023-02-03 11:39:52.050+00:00, 512, -308, -90, -558
2023-02-03 11:39:52.089+00:00, 512, -160, -55, -1026
2023-02-03 11:39:52.128+00:00, 512, -211, -59, -944
2023-02-03 11:39:52.167+00:00, 512, -195, -55, -920
2023-02-03 11:39:52.206+00:00, 512, -242, -23, -881
2023-02-03 11:39:52.245+00:00, 511, -117, 20, -780
2023-02-03 11:39:52.284+00:00, 512, -659, -20, -1412
2023-02-03 11:39:52.323+00:00, 512, -261, 55, -909
2023-02-03 11:39:52.362+00:00, 512, -296, -94, -854
2023-02-03 11:39:52.401+00:00, 512, -277, 4, -889
2023-02-03 11:39:52.440+00:00, 512, -144, 20, -967
2023-02-03 11:39:52.480+00:00, 512, -257, -191, -1053
2023-02-03 11:39:52.519+00:00, 512, -187, -16, -963
2023-02-03 11:39:52.558+00:00, 512, -234, -133, -971
2023-02-03 11:39:52.597+00:00, 512, -285, -31, -971
2023-02-03 11:39:52.636+00:00, 512, -355, 0, -831
2023-02-03 11:39:52.675+00:00, 512, -109, -308, -694
2023-02-03 11:39:52.714+00:00, 512, -230, -35, -967
2023-02-03 11:39:52.753+00:00, 512, -164, 117, -605
2023-02-03 11:39:52.792+00:00, 512, 27, 113, -1427
2023-02-03 11:39:52.831+00:00, 512, -105, -70, -971
2023-02-03 11:39:52.870+00:00, 512, -144, 39, -1037
2023-02-03 11:39:52.909+00:00, 512, -109, -51, -936
2023-02-03 11:39:52.948+00:00, 512, -86, -82, -909
2023-02-03 11:39:52.987+00:00, 512, -70, 8, -917
2023-02-03 11:39:53.026+00:00, 512, -121, -51, -975
2023-02-03 11:39:53.065+00:00, 512, -148, -74, -683
2023-02-03 11:39:53.105+00:00, 512, -191, -70, -1498
2023-02-03 11:39:53.144+00:00, 512, 16, -101, -1002
2023-02-03 11:39:53.183+00:00, 512, -43, -20, -1061
2023-02-03 11:39:53.222+00:00, 512, -20, -8, -1057
2023-02-03 11:39:53.261+00:00, 512, -62, -55, -823
2023-02-03 11:39:53.300+00:00, 512, -55, -144, -870
2023-02-03 11:39:53.339+00:00, 512, -4, -16, -878
2023-02-03 11:39:53.378+00:00, 512, -27, -51, -932
2023-02-03 11:39:53.417+00:00, 512, -47, -47, -870
2023-02-03 11:39:53.456+00:00, 512, -62, -16, -846
2023-02-03 11:39:53.495+00:00, 512, 0, -179, -956
2023-02-03 11:39:53.534+00:00, 512, 8, -144, -928
2023-02-03 11:39:53.573+00:00, 512, 35, -140, -963
2023-02-03 11:39:53.612+00:00, 512, 12, -78, -881
