,Time,X,Y,Z
581,2759,0.1459674,0.040679436,9.392164
582,2764,-0.021536173,-0.07418015,10.088501
583,2769,0.071787246,0.49293905,10.674763
584,2774,-0.21536173,-0.22014755,9.32277
585,2778,0.03828653,0.14357449,9.56924
586,2783,-0.24646953,0.107680865,9.459166
587,2788,-0.05025107,0.10050214,9.619491
588,2793,-0.26082698,0.27997026,9.920997
589,2797,-0.2656128,0.33022133,10.239254
590,2802,0.067001425,0.0071787243,9.906639
591,2807,-0.009571632,0.07896597,9.234232
592,2812,-0.2919348,0.1459674,9.411307
593,2816,-0.2991135,0.24646953,10.009535
594,2821,-0.15314612,0.20339718,10.095679
595,2826,0.1483603,0.10050214,9.516596
596,2831,-0.03828653,0.18425392,9.418487
597,2835,-0.25364825,0.17946811,9.846817
598,2840,-0.25364825,0.18186101,9.84921
599,2845,-0.17707519,0.16511066,9.856388
600,2850,-0.004785816,0.13400285,9.607526
601,2854,-0.03828653,0.12203831,9.705635
602,2859,-0.15075321,0.11485959,9.736743
603,2864,-0.22254045,0.1196454,9.822887
604,2869,-0.13160995,0.1196454,9.775029
605,2873,-0.110073775,0.05025107,9.727171
606,2878,-7.9277043,5.6185484,21.806572
607,2883,0.5910483,0.677193,11.6223545
608,2888,5.7621226,-5.465402,2.5699832
609,2892,-3.0102785,2.2182257,11.143773
610,2897,-0.48815325,-0.75615895,9.382592
611,2902,3.48886,0.34936458,9.916211
612,2907,-1.4381378,2.057901,9.069121
613,2911,-1.849718,2.0770442,12.586697
