time,gFx,gFy,gFz
10.123305,-1.041,0.0608,0.0423
10.144873,-1.0361,0.0804,0.0625
10.163252,-1.0054,0.0635,0.042
10.18329,-0.9702,0.0093,-0.0217
10.204024,-0.9587,-0.0789,-0.0503
10.223402,-1.0227,-0.1204,-0.0222
10.24364,-1.1048,-0.0608,-0.0005
10.263547,-1.0762,0.0406,0.033
10.283285,-0.9997,0.0843,0.0244
10.3034,-0.9636,0.0909,0.0034
10.323738,-0.9751,0.0897,-0.0142
10.344121,-1.0193,0.0801,-0.0073
10.363937,-1.0405,0.0364,0.0283
10.38358,-1.0515,0.0012,0.044
10.404282,-1.0625,-0.0169,0.0379
10.423264,-1.0452,-0.0369,0.0178
10.444098,-0.9946,-0.0357,-0.0098
10.463675,-0.9602,-0.0237,-0.0049
10.484597,-0.9648,-0.0007,-0.0034
10.503965,-0.9941,0.0164,-0.0076
10.523772,-1.0261,0.0235,0.0413
10.543417,-1.0105,0.0401,0.041
10.5637,-0.9946,0.0496,-0.0088
10.583524,-1.01,-0.0002,-0.0125
10.605083,-1.0427,-0.0503,0.02
10.623725,-1.0464,-0.053,0.0486
10.642433,-1.0139,-0.0054,0.0476
10.662897,-0.9716,0.0677,0.0034
10.683147,-0.9621,0.1202,-0.0208
10.704011,-0.9909,0.1415,-0.0064
10.722841,-0.9941,0.1229,0.0083
10.742959,-0.9978,0.1109,0.0393
10.762669,-1.0234,0.1361,0.0318
10.782976,-1.0383,0.1444,0.0151
10.803301,-1.0298,0.0901,0.0257
10.822817,-1.0259,0.0115,0.0442
10.845581,-1.0183,-0.0225,0.0195
10.862815,-0.9968,-0.0247,-0.011
10.882879,-1.0093,-0.0303,0.0056
10.903102,-1.0486,-0.0344,0.0381
10.922605,-1.0611,-0.022,0.0428
10.94283,-1.0349,-0.0029,0.0154
10.962208,-0.997,0.0188,0.0254
10.985472,-0.9733,0.0315,0.0437
11.0034,-0.9614,0.0406,0.0337
11.022662,-0.9763,0.0667,0.0288
11.043061,-1.0139,0.0821,0.0525
11.062236,-1.0325,0.0616,0.0674
11.082547,-1.01,0.0327,0.0672
11.102752,-1.0022,0.0086,0.0112
11.122122,-1.01,-0.0086,0.0051
11.142777,-1.0056,-0.0005,0.0533
11.162919,-0.9946,0.0291,0.0381
11.182579,-1.0181,0.0501,0.0122
11.203476,-1.0327,0.0525,0.0227
11.223053,-1.0168,0.0347,0.0318
11.243343,-1.0063,0.0208,0.0354
11.262591,-1.0151,0.0225,0.0418
11.283301,-1.0146,0.0386,0.0503
11.303406,-1.0029,0.0445,0.0379
11.32302,-0.9997,0.0332,0.0371
11.34336,-1.0117,0.0318,0.0454
11.363187,-1.0181,0.0393,0.0623
11.384242,-0.9997,0.0386,0.0567
11.403119,-0.9763,0.0239,0.0362
11.423072,-0.9836,0.0254,0.0249
11.442684,-1.0185,0.0188,0.0479
11.462422,-1.0234,0.0095,0.0633
11.483428,-0.9948,-0.0046,0.0347
11.503061,-0.9826,-0.0032,0.0076
11.52281,-1.0039,0.02,0.0076
11.542718,-1.0281,0.0611,0.0384
11.562314,-1.0403,0.0809,0.0586
11.583031,-1.0281,0.0738,0.0386
11.602847,-1.0178,0.0472,0.0235
11.623432,-1.0124,0.023,0.0384
11.642982,-1.0063,0.0151,0.0535
11.662272,-1.0039,0.0244,0.0486
11.682551,-1.0032,0.0322,0.0357
11.703612,-1.0137,0.034,0.0559
11.722222,-1.0176,0.0374,0.0393
11.742671,-1.01,0.0352,0.0315
11.76295,-1.0041,0.0359,0.045
11.782777,-0.9958,0.0464,0.0503
11.803537,-1.0124,0.042,0.0442
11.822695,-1.0334,0.0457,0.0322
11.84246,-1.0298,0.0515,0.0107
11.862066,-1.0044,0.0322,0.0322
11.882956,-0.9909,-0.0054,0.0472
11.902579,-1.0112,-0.0217,0.0283
11.922444,-1.0381,0.0154,0.0276
11.943261,-1.0183,0.0459,0.0503
11.962137,-0.9834,0.0542,0.0315
11.982677,-0.9719,0.0533,0.0139
12.002745,-0.9775,0.054,0.0042
12.022834,-0.999,0.053,0.0232
12.042817,-1.0254,0.0479,0.0501
12.062984,-1.0376,0.0406,0.0479
12.082156,-1.0193,0.0171,0.032
12.102505,-0.9985,-0.0066,0.0303
12.122917,-1.0129,0.0046,0.0447
12.142825,-1.0393,0.0454,0.0552
12.162774,-1.0347,0.0838,0.0584
12.183528,-0.9968,0.0916,0.0511
12.204569,-0.9719,0.0745,0.0308
12.223481,-0.9931,0.0611,0.0269
12.248888,-1.0132,0.0469,0.0591
12.263123,-1.0163,0.0364,0.0772
12.28362,-1.0141,0.0376,0.0655
12.30348,-1.0049,0.0467,0.0452
12.322689,-0.9985,0.0503,0.0613
12.342697,-1.0044,0.0479,0.0552
12.368579,-1.0093,0.043,0.043
12.383741,-1.0144,0.0447,0.0474
12.402925,-1.0122,0.0564,0.0533
12.423662,-1.0049,0.0591,0.0398
12.443343,-1.0034,0.0464,0.0506
12.46295,-1.0105,0.0296,0.0577
12.483897,-1.0146,0.0276,0.0508
12.504006,-1.0149,0.0354,0.0515
12.523522,-1.0171,0.0454,0.0547
12.547783,-1.0075,0.0484,0.0472
12.562498,-1.001,0.0474,0.0457
12.582617,-1,0.0501,0.0511
12.604204,-1.011,0.0523,0.0518
12.622671,-1.0088,0.0459,0.0493
12.643143,-1.01,0.0325,0.0474
12.666399,-1.0137,0.0357,0.053
12.682739,-1.0097,0.042,0.0513
12.703124,-1.0032,0.0413,0.0384
12.722943,-1.008,0.0381,0.0327
12.742885,-1.0173,0.043,0.043
12.762589,-1.0185,0.0459,0.0508
12.78256,-1.009,0.0472,0.043
12.802467,-0.9992,0.0454,0.0369
12.824231,-1.0034,0.0445,0.0352
12.846851,-1.0144,0.045,0.0408
12.862642,-1.0107,0.0374,0.0398
12.882626,-1.0075,0.0384,0.0354
12.903323,-1.0161,0.0454,0.0481
12.922414,-1.0149,0.0462,0.0489
12.943155,-1.0017,0.0423,0.0413
12.962538,-1.0041,0.0415,0.0293
12.982621,-1.0097,0.044,0.0347
13.002561,-1.0168,0.0459,0.0447
13.022891,-1.0112,0.0518,0.0462
13.042366,-1.0044,0.0569,0.0249
13.062652,-1.0041,0.0452,0.0344
13.082876,-1.01,0.0398,0.0503
13.102839,-1.0051,0.0379,0.0406
13.12365,-1.0024,0.0398,0.0337
13.144409,-1.0129,0.0437,0.0432
13.16261,-1.0144,0.0454,0.0418
13.183535,-1.0097,0.0511,0.0369
13.202051,-1.0032,0.0474,0.0388
13.22263,-1.0097,0.0428,0.0401
13.241616,-1.0115,0.0386,0.0496
13.264365,-1.0085,0.0415,0.0406
13.281392,-1.0054,0.0452,0.0381
13.302271,-1.0102,0.0491,0.0371
13.322116,-1.0073,0.0447,0.0384
13.342229,-1.0141,0.0379,0.0428
13.361871,-1.0176,0.0384,0.0442
13.391834,-1.0134,0.0418,0.0472
13.402049,-1.0041,0.0437,0.0403
13.420849,-1.0063,0.0486,0.0396
13.442145,-1.0115,0.0472,0.0415
13.461947,-1.0117,0.0408,0.0442
13.482086,-1.0095,0.0423,0.0371
13.502813,-1.0083,0.0469,0.0437
13.522161,-1.0085,0.0479,0.0555
13.542311,-1.01,0.0435,0.0567
13.565955,-1.0044,0.0447,0.0393
13.582169,-1.009,0.0501,0.0476
13.603843,-1.0083,0.0469,0.0388
13.622506,-1.0071,0.041,0.042
13.64274,-1.0105,0.0418,0.0447
13.661955,-1.0056,0.052,0.0428
13.688368,-1.0066,0.0513,0.0391
13.703858,-1.0107,0.0476,0.0425
13.722111,-1.0156,0.0413,0.0423
13.742673,-1.0073,0.0374,0.0342
13.762314,-1.0049,0.0305,0.0325
13.782496,-1.0085,0.0362,0.0276
13.802265,-1.0127,0.0479,0.0286
13.822568,-1.0105,0.0489,0.0364
